Pan Pacific Singapore,0.83768,4.5
The Fullerton Hotel Singapore,0.86165,4.5
Park Hotel Clarke Quay,0.77675,4.0
Shangri La Hotel Singapore,0.81783,4.5
YOTEL Singapore,0.71815,4.5
Orchard Hotel Singapore,0.65784,4.5
Marina Bay Sands,0.74171,4.5
PARKROYAL COLLECTION Marina Bay Singapore,0.87844,4.0
Park Hotel Alexandra,0.83338,4.5
PARKROYAL COLLECTION Pickering Singapore,0.57215,4.5
Hotel G Singapore,0.92409,4.0
Mandarin Orchard Singapore,0.78489,4.0
Hotel Boss,0.82501,4.0
Park Hotel Farrer Park,0.75265,4.0
Goodwood Park Hotel,0.74761,4.5
M Social Singapore,0.61419,4.0
Ascott Orchard Singapore,0.74274,4.5
Lloyd s Inn Singapore,0.79153,4.5
Changi Cove,0.80427,4.0
Lyf Funan Singapore,0.67627,4.0
